,year,month,mass
0,2002,1,-2.2886290623867924
1,2002,2,-2.52600780709466
2,2002,3,-2.115220858530284
3,2002,4,0.0
4,2002,4,-1.8882681962662342
5,2002,5,23.7
6,2002,6,-1.4802110391013634
7,2002,7,-1.6764100351138156
8,2002,8,-51.67
9,2002,9,47.89
10,2002,10,72.21
11,2002,11,-59.54
12,2002,12,-41.94
13,2003,1,-47.77
14,2003,2,-196.05
15,2003,3,-164.51
16,2003,4,-35.46
17,2003,5,6.62
18,2003,6,-88.83413261643182
19,2003,7,-118.07
20,2003,8,-113.38
21,2003,9,-121.68
22,2003,10,-38.91
23,2003,11,-98.21
24,2003,12,-263.54
25,2004,1,-324.03
26,2004,2,-482.18
27,2004,3,-330.45
28,2004,4,-376.34
29,2004,5,-147.69
30,2004,6,-180.02
31,2004,7,-304.17
32,2004,8,-157.91
33,2004,9,-154.07
34,2004,10,-77.58
35,2004,11,-219.45
36,2004,12,-298.0
37,2005,1,-384.07
38,2005,2,-446.8
39,2005,3,-397.61
40,2005,4,-243.25
41,2005,5,-221.04
42,2005,6,-197.63
43,2005,7,-151.79
44,2005,8,-201.2
45,2005,9,-104.09
46,2005,10,-97.81
47,2005,11,-51.27
48,2005,12,-156.0
49,2006,1,-216.53
50,2006,2,-309.85
51,2006,3,-174.33
52,2006,4,-150.68
53,2006,5,-71.71
54,2006,6,-42.03
55,2006,7,-91.59
56,2006,8,-1.54
57,2006,9,-13.62
58,2006,10,-88.09
59,2006,11,-80.56
60,2006,12,-226.28
61,2007,1,-430.45
62,2007,2,-420.86
63,2007,3,-352.28
64,2007,4,-327.42
65,2007,5,-171.53
66,2007,6,-183.02
67,2007,7,-259.85
68,2007,8,-223.61
69,2007,9,-150.57
70,2007,10,-239.08
71,2007,11,-431.28
72,2007,12,-513.31
73,2008,1,-720.76
74,2008,2,-600.08
75,2008,3,-731.84
76,2008,4,-555.54
77,2008,5,-465.02
78,2008,6,-548.6
79,2008,7,-643.52
80,2008,8,-594.91
81,2008,9,-434.81
82,2008,10,-524.29
83,2008,11,-512.7
84,2008,12,-617.1
85,2009,1,-697.78
86,2009,2,-672.49
87,2009,3,-609.29
88,2009,4,-571.38
89,2009,5,-545.86
90,2009,6,-532.31
91,2009,7,-431.32
92,2009,8,-461.85
93,2009,9,-474.72
94,2009,10,-529.23
95,2009,11,-515.5
96,2009,12,-625.31
97,2010,1,-795.23
98,2010,2,-801.35
99,2010,3,-682.39
100,2010,4,-752.63
101,2010,5,-773.96
102,2010,6,-790.51
103,2010,7,-989.84
104,2010,8,-916.86
105,2010,9,-838.33
106,2010,10,-869.79
107,2010,11,-890.57
108,2010,12,-903.52
109,2011,1,-1240.56773967527
110,2011,2,-994.81
111,2011,3,-1008.99
112,2011,4,-1021.11
113,2011,5,-955.17
114,2011,6,-802.3589725393493
115,2011,7,-903.35
116,2011,8,-918.81
117,2011,9,-829.25
118,2011,10,-874.95
119,2011,11,-870.33
120,2011,12,-1139.5348023402828
121,2012,1,-1067.41
122,2012,2,-1131.21
123,2012,3,-1107.48
124,2012,4,-1047.95
125,2012,5,-844.6638847696087
126,2012,6,-1084.31
127,2012,7,-1051.33
128,2012,8,-971.21
129,2012,9,-938.21
130,2012,10,-825.6659949502678
131,2012,11,-1059.38
132,2012,12,-1105.82
133,2013,1,-1276.52
134,2013,2,-1384.04
135,2013,3,-1469.1952656969124
136,2013,4,-1125.36
137,2013,5,-1227.25
138,2013,6,-1235.45
139,2013,7,-1197.92
140,2013,8,-996.1546662736342
141,2013,9,-885.5548770782402
142,2013,10,-1289.52
143,2013,11,-1336.74
144,2013,12,-1388.09
145,2014,1,-1497.8
146,2014,2,-2245.846581501939
147,2014,3,-1604.11
148,2014,4,-1523.72
149,2014,5,-1430.18
150,2014,6,-1474.46
151,2014,7,-1490.4782700914352
152,2014,8,-1522.64
153,2014,9,-1349.46
154,2014,10,-1438.74
155,2014,11,-1513.09
156,2014,12,-1869.080108235976
157,2015,1,-1817.86
158,2015,2,-1894.34
159,2015,3,-1858.86
160,2015,4,-1837.87
161,2015,5,-1418.2192293985684
162,2015,6,-1425.90432473842
163,2015,7,-1733.56
164,2015,8,-1883.31
165,2015,9,-1837.29
166,2015,10,-1386.3211298756632
167,2015,11,-1567.579454450844
168,2015,12,-1881.26
169,2016,1,-1902.3
170,2016,2,-1978.22
171,2016,3,-1913.92
172,2016,4,-1975.8869760785817
173,2016,5,-1777.79
174,2016,6,-1760.63
175,2016,7,-1641.94
176,2016,8,-1587.87
177,2016,9,-1334.1052697097473
178,2016,10,-1505.8978573647294
179,2016,11,-1702.7905662219957
180,2016,12,-1661.11
181,2016,12,-1571.79
182,2017,1,-1591.3
183,2017,2,-2514.835816376035
184,2017,3,-2105.8656903740452
185,2017,4,-1911.15
186,2017,5,-1798.87
187,2017,6,-1796.49
188,2017,7,-1668.9956331074961
189,2017,8,-1427.8346677196635
190,2017,9,-1269.3068621466566
191,2017,10,-1432.7553660445844
192,2017,11,-1620.0848610502858
193,2017,12,-2092.943319718819
194,2018,1,-2808.935916387792
195,2018,2,-3100.2813741360196
196,2018,3,-2596.1043396093087
197,2018,4,-2317.5552750927204
198,2018,5,-1806.9371411929762
199,2018,6,-1967.5
200,2018,7,-1983.12
201,2018,8,-1760.2299111740729
202,2018,9,-1564.7973506465669
203,2018,10,-1766.2961319846538
204,2018,11,-2242.37
205,2018,12,-2258.68
206,2019,1,-2349.45
207,2019,2,-2392.7
208,2019,3,-2296.6
209,2019,4,-2116.61
210,2019,5,-2170.22
211,2019,6,-2262.15
212,2019,7,-2166.4
213,2019,8,-2211.57
214,2019,9,-2086.12
215,2019,10,-2269.47
216,2019,11,-2330.26
217,2019,12,-2375.21
218,2020,1,-2683.42
219,2020,2,-2793.27
220,2020,3,-2611.1
221,2020,4,-2517.0
222,2020,5,-2438.81
223,2020,6,-2405.06
224,2020,7,-2336.46
225,2020,8,-2228.37
226,2020,9,-2415.45
227,2020,10,-2516.41
228,2020,11,-2561.88
229,2020,12,-2714.83
230,2021,1,-3029.88
231,2021,2,-2714.44
232,2021,3,-2667.45
233,2021,4,-2455.75
234,2021,5,-2438.42
235,2021,6,-2603.65
236,2021,7,-2650.01
237,2021,8,-2602.02
238,2021,9,-2668.95
239,2021,10,-2522.81
240,2021,11,-2855.94
241,2021,12,-2744.04
242,2022,1,-2704.92
243,2022,2,-2663.26
244,2022,3,-2630.04
245,2022,4,-2298.75
246,2022,5,-2155.93
247,2022,6,-2358.85
248,2022,7,-2419.38
