,Country,Year,NOX,CO,NMVOC,PM10,PM2.5
0,Canada,1990,2299.407,11589.89,2871.115,6669.249,1682.019
1,Canada,1991,2211.588,11385.2,2812.988,6429.815,1630.67
2,Canada,1992,2250.348,11325.1,2834.188,6378.559,1595.657
3,Canada,1993,2300.251,11596.59,2919.891,6261.898,1574.071
4,Canada,1994,2416.135,11566.73,2947.092,6578.46,1611.059
5,Canada,1995,2475.573,11431.69,2943.76,6374.186,1554.528
6,Canada,1996,2543.158,11083.51,2936.54,6551.051,1563.682
7,Canada,1997,2682.48,10765.98,2869.365,6954.075,1600.259
8,Canada,1998,2720.645,10490.53,2812.78,6293.32,1417.403
9,Canada,1999,2782.88,10296.69,2744.544,6477.585,1428.37
10,Canada,2000,2753.616,10078.01,2677.379,6317.358,1386.606
11,Canada,2001,2618.977,9253.218,2445.749,6480.917,1356.754
12,Canada,2002,2562.667,8929.189,2414.256,6224.143,1280.748
13,Canada,2003,2524.0,8779.953,2355.343,6267.27,1281.644
14,Canada,2004,2386.121,8287.74,2315.073,6180.492,1247.919
15,Canada,2005,2291.259,7419.118,2269.972,6204.239,1244.391
16,Canada,2006,2138.462,6924.634,2151.85,6398.208,1251.572
17,Canada,2007,2145.065,6852.563,2127.26,6859.869,1331.003
18,Canada,2008,2074.08,6638.479,2080.704,7215.716,1394.297
19,Canada,2009,1949.499,6308.341,1923.616,6768.485,1278.532
20,Canada,2010,1962.768,6083.144,1881.422,7227.203,1347.808
21,Canada,2011,1908.425,5687.282,1745.62,7507.945,1386.86
22,Canada,2012,1801.185,5419.132,1753.74,8162.832,1491.81
23,Canada,2013,1755.426,5375.684,1786.942,8290.896,1506.118
24,Canada,2014,1708.849,5285.976,1805.468,8190.14,1501.461
25,Canada,2015,1641.306,5187.515,1721.318,8378.101,1509.742
26,Canada,2016,1583.602,5095.864,1612.902,8419.482,1501.788
27,Canada,2017,1635.052,5154.677,1628.904,8496.125,1503.195
28,Canada,2018,1652.733,5141.86,1673.825,8561.365,1510.902
29,Canada,2019,1643.102,5092.643,1643.238,8586.728,1508.466
30,France,1990,2094.118,10948.62,2891.851,539.849,420.266
31,France,1991,2149.484,11314.83,2924.562,585.256,463.772
32,France,1992,2115.187,10562.88,2843.79,563.29,446.883
33,France,1993,2017.943,10038.81,2722.986,540.256,432.57
34,France,1994,1950.969,9373.532,2576.542,504.782,397.155
35,France,1995,1907.601,9186.984,2495.66,506.491,398.849
36,France,1996,1868.04,8650.133,2427.927,520.578,410.479
37,France,1997,1801.23,8034.193,2311.709,482.539,373.343
38,France,1998,1836.808,7764.684,2255.471,473.083,366.557
39,France,1999,1798.95,7277.932,2164.782,451.494,345.361
40,France,2000,1739.061,6607.76,2060.269,420.467,317.091
41,France,2001,1698.572,6208.835,1966.781,406.371,305.263
42,France,2002,1657.463,5995.767,1838.701,382.799,284.277
43,France,2003,1601.762,5689.928,1786.8,382.574,282.827
44,France,2004,1557.53,5751.191,1670.535,367.726,268.52
45,France,2005,1505.936,5244.163,1586.771,340.585,246.66
46,France,2006,1415.845,4655.089,1485.753,312.3,220.761
47,France,2007,1350.598,4392.954,1357.146,292.186,203.444
48,France,2008,1267.316,4199.088,1280.745,282.565,196.002
49,France,2009,1189.544,3745.221,1208.014,264.962,183.385
50,France,2010,1155.201,4138.956,1218.547,270.413,187.406
51,France,2011,1099.688,3436.657,1148.419,242.813,159.925
52,France,2012,1076.978,3146.793,1099.323,247.371,164.681
53,France,2013,1055.01,3197.185,1091.981,246.418,164.905
54,France,2014,981.102,2679.667,1073.799,220.441,141.816
55,France,2015,960.832,2641.25,1046.902,223.182,143.39
56,France,2016,910.539,2670.143,1023.964,223.347,143.397
57,France,2017,878.712,2618.923,1011.838,219.765,137.368
58,France,2018,821.626,2497.714,989.429,210.073,129.194
59,France,2019,784.375,2456.63,972.95,207.313,126.082
60,Germany,1995,2186.215,7099.644,2341.78,342.257,202.427
61,Germany,1996,2104.028,6541.654,2244.448,325.67,190.07
62,Germany,1997,2030.897,6312.689,2189.849,330.832,189.304
63,Germany,1998,2002.98,5809.629,2132.882,318.71,179.026
64,Germany,1999,1969.111,5407.414,1971.086,313.081,174.211
65,Germany,2000,1893.181,5084.278,1805.929,298.471,165.542
66,Germany,2001,1837.112,4891.937,1710.894,283.633,159.341
67,Germany,2002,1775.451,4596.885,1619.185,276.29,152.659
68,Germany,2003,1729.135,4273.114,1537.899,262.505,146.239
69,Germany,2004,1681.968,4061.428,1534.609,254.893,141.034
70,Germany,2005,1631.828,3837.201,1487.273,244.932,134.906
71,Germany,2006,1641.467,3808.721,1483.605,243.825,133.853
72,Germany,2007,1590.84,3769.916,1421.37,234.571,128.241
73,Germany,2008,1528.41,3747.875,1359.182,231.46,124.4
74,Germany,2009,1432.982,3206.982,1245.125,214.526,113.104
75,Germany,2010,1445.182,3513.072,1361.502,225.746,118.85
76,Germany,2011,1419.44,3429.298,1272.485,225.356,114.244
77,Germany,2012,1410.806,3175.108,1256.666,222.316,112.657
78,Germany,2013,1410.042,3133.565,1212.32,223.727,110.861
79,Germany,2014,1364.954,2964.683,1173.685,215.704,103.091
80,Germany,2015,1342.46,3068.674,1147.29,213.788,102.38
81,Germany,2016,1314.744,2946.376,1140.885,199.011,96.623
82,Germany,2017,1263.814,2961.383,1145.435,201.767,95.498
83,Germany,2018,1179.477,2852.275,1098.803,207.235,94.488
84,Germany,2019,1105.5,2752.844,1072.151,193.803,89.932
85,Italy,1990,2128.125,6796.102,1993.378,302.544,230.469
86,Italy,1991,2195.043,7179.007,2062.883,309.843,238.89
87,Italy,1992,2233.872,7280.029,2133.322,300.737,231.293
88,Italy,1993,2130.466,7447.718,2127.992,300.398,232.683
89,Italy,1994,2030.414,7034.518,2076.92,295.729,228.127
90,Italy,1995,1992.104,7070.711,2058.175,297.406,228.3
91,Italy,1996,1919.814,6783.705,2006.847,284.108,217.823
92,Italy,1997,1842.66,6351.944,1961.432,278.036,215.169
93,Italy,1998,1729.529,5920.943,1873.404,277.417,214.6
94,Italy,1999,1631.806,5483.349,1806.582,273.606,211.559
95,Italy,2000,1510.342,4750.211,1629.76,257.164,197.516
96,Italy,2001,1480.319,4449.554,1565.919,249.23,189.193
97,Italy,2002,1424.399,3854.917,1471.12,218.183,159.224
98,Italy,2003,1403.482,3930.379,1451.206,234.972,177.709
99,Italy,2004,1353.752,3394.229,1348.37,213.022,154.892
100,Italy,2005,1294.15,3467.228,1339.615,231.57,176.472
101,Italy,2006,1243.211,3323.148,1304.27,235.714,182.277
102,Italy,2007,1176.735,3378.741,1286.028,258.919,207.041
103,Italy,2008,1058.058,3510.26,1263.663,268.426,219.618
104,Italy,2009,971.118,3112.146,1183.116,245.779,203.422
105,Italy,2010,940.908,3073.075,1116.059,239.905,198.649
106,Italy,2011,902.539,2432.598,1024.962,191.708,151.867
107,Italy,2012,852.533,2696.829,1031.604,216.083,178.717
108,Italy,2013,780.854,2501.757,996.476,208.02,172.266
109,Italy,2014,757.444,2255.625,923.957,190.004,154.559
110,Italy,2015,719.233,2266.319,896.905,195.04,159.956
111,Italy,2016,704.194,2191.196,880.435,189.54,154.974
112,Italy,2017,661.562,2257.648,920.951,196.517,162.187
113,Italy,2018,662.057,2049.231,894.224,178.411,143.712
114,Italy,2019,642.426,2060.156,887.576,176.088,137.882
115,Korea,2011,1040.017,710.284,846.987,130.79,81.446
116,Korea,2012,1075.052,697.054,883.788,119.709,76.043
117,Korea,2013,1090.449,689.817,885.695,121.253,76.523
118,Korea,2014,1135.59,587.995,877.606,97.646,63.041
