,Year,NO
0,1990.0,2368969970.703125
1,1991.0,2356090087.890625
2,1992.0,2348919921.875
3,1993.0,2332620117.1875
4,1994.0,2424100097.65625
5,1995.0,2479909912.109375
6,1996.0,2493520019.53125
7,1997.0,2480570068.359375
8,1998.0,2510939941.40625
9,1999.0,2498219970.703125
10,2000.0,2490419921.875
11,2001.0,2512179931.640625
12,2002.0,2570020019.53125
13,2003.0,2604750000.0
14,2004.0,2687850097.65625
15,2005.0,2701330078.125
16,2006.0,2733120117.1875
17,2007.0,2802949951.171875
18,2008.0,2775360107.421875
19,2009.0,2769550048.828125
20,2010.0,2845370117.1875
21,2011.0,2914600097.65625
22,2012.0,2937790039.0625
23,2013.0,2918250000.0
24,2014.0,2963010009.765625
25,2015.0,2995510009.765625
26,2016.0,3027260009.765625
27,2017.0,3087399902.34375
28,2018.0,3072530029.296875
29,2019.0,3096790039.0625
30,2020.0,3124814513.1779785
31,2021.0,3152652222.3405075
32,2022.0,3180489931.5030365
33,2023.0,3208327640.665558
34,2024.0,3236165349.828087
35,2025.0,3264003058.990608
36,2026.0,3291840768.1531296
37,2027.0,3319678477.3156586
38,2028.0,3347516186.47818
39,2029.0,3375353895.640709
40,2030.0,3403191604.8032303
41,2031.0,3431029313.9657516
42,2032.0,3458867023.1282806
43,2033.0,3486704732.290802
44,2034.0,3514542441.453331
45,2035.0,3542380150.6158524
46,2036.0,3570217859.7783737
47,2037.0,3598055568.9409027
48,2038.0,3625893278.103424
49,2039.0,3653730987.2659454
50,2040.0,3681568696.4284744
51,2041.0,3709406405.590996
52,2042.0,3737244114.753525
53,2043.0,3765081823.916046
54,2044.0,3792919533.0785675
55,2045.0,3820757242.2410965
56,2046.0,3848594951.403618
57,2047.0,3876432660.566147
58,2048.0,3904270369.728668
59,2049.0,3932108078.8911896
60,2050.0,3959945788.0537186
