Year,CO2
1750.0,9350528.0
1751.0,9350528.0
1752.0,9354192.0
1753.0,9354192.0
1754.0,9357856.0
1755.0,9361520.0
1756.0,10006384.0
1757.0,10010048.0
1758.0,10013712.0
1759.0,10017376.0
1760.0,10017376.0
1761.0,10973680.0
1762.0,10977344.0
1763.0,10981008.0
1764.0,10984672.0
1765.0,10988336.0
1766.0,12259744.0
1767.0,12263408.0
1768.0,12267072.0
1769.0,12270736.0
1770.0,12274400.0
1771.0,13611760.0
1772.0,13615424.0
1773.0,13619088.0
1774.0,13622752.0
1775.0,13626416.0
1776.0,15037056.0
1777.0,15040720.0
1778.0,15044384.0
1779.0,15048048.0
1780.0,15055376.0
1781.0,16843408.0
1782.0,16847072.0
1783.0,16854400.0
1784.0,16858064.0
1785.0,16869056.0
1786.0,19151728.0
1787.0,19159056.0
1788.0,19162720.0
1789.0,19170048.0
1790.0,19177376.0
1791.0,21419744.0
1792.0,21896064.0
1793.0,21914384.0
1794.0,21881408.0
1795.0,21892400.0
1796.0,22951296.0
1797.0,24094464.0
1798.0,25094736.0
1799.0,26428432.0
1800.0,28091888.0
1801.0,27959984.0
1802.0,36782896.0
1803.0,31488416.0
1804.0,34309696.0
1805.0,33419344.0
1806.0,35046160.0
1807.0,36874496.0
1808.0,35064480.0
1809.0,35090128.0
1810.0,37380128.0
1811.0,39582192.0
1812.0,41007488.0
1813.0,41220000.0
1814.0,42128672.0
1815.0,43488016.0
1816.0,47664976.0
1817.0,49431024.0
1818.0,49643536.0
1819.0,49947648.0
1820.0,50687776.0
1821.0,51435232.0
1822.0,53465088.0
1823.0,56550176.0
1824.0,58525072.0
1825.0,60756448.0
1826.0,61419632.0
1827.0,65915360.0
1828.0,66637168.0
1829.0,66395344.0
1830.0,89123136.0
1831.0,84528480.0
1832.0,85111056.0
1833.0,86807488.0
1834.0,88485600.0
1835.0,90445840.0
1836.0,104775744.0
1837.0,104691472.0
1838.0,108044032.0
1839.0,111612768.0
1840.0,118929776.0
1841.0,122619424.0
1842.0,129504080.0
1843.0,132852976.0
1844.0,141423072.0
1845.0,155210704.0
1846.0,157793824.0
1847.0,172402192.0
1848.0,173816496.0
1849.0,183511440.0
1850.0,196896032.0
1851.0,198804976.0
1852.0,207550944.0
1853.0,217209248.0
1854.0,255138976.0
1855.0,260165984.0
1856.0,277291520.0
1857.0,279889296.0
1858.0,284171850.0
1859.0,301312559.0
1860.0,330642191.0
1861.0,347735242.0
1862.0,354057462.0
1863.0,377859938.0
1864.0,407091108.0
1865.0,432307789.0
1866.0,445970599.0
1867.0,477814912.0
1868.0,490752496.0
1869.0,521130720.0
1870.0,532536752.0
1871.0,566142960.0
1872.0,626371792.0
1873.0,665419040.0
1874.0,622997248.0
1875.0,675799152.0
1876.0,685552720.0
1877.0,699098528.0
1878.0,704381729.0
1879.0,754869509.0
1880.0,853707188.0
1881.0,882407475.0
1882.0,931924710.0
1883.0,991035684.0
1884.0,1002177745.0
1885.0,1009674571.0
1886.0,1025478884.0
1887.0,1076761678.0
1888.0,1192276070.0
1889.0,1191804432.0
1890.0,1298463581.0
1891.0,1358879690.0
1892.0,1370094534.0
1893.0,1353675035.0
1894.0,1400864597.0
1895.0,1485281339.0
1896.0,1533711001.0
1897.0,1606310640.0
1898.0,1694277167.0
1899.0,1850905966.0
1900.0,1952224654.0
1901.0,2016760928.0
1902.0,2067797613.0
1903.0,2256077250.0
1904.0,2281857535.0
1905.0,2429631367.0
1906.0,2551869513.0
1907.0,2885281242.0
1908.0,2776431591.0
1909.0,2887083061.0
1910.0,3027588864.0
1911.0,3082462274.0
1912.0,3228332151.0
1913.0,3492411249.0
1914.0,3168341359.0
1915.0,3125088543.0
1916.0,3373154069.0
1917.0,3527725678.0
1918.0,3479185579.0
1919.0,3014874203.0
1920.0,3507597636.0
1921.0,3076038222.0
1922.0,3226445037.0
1923.0,3661080742.0
1924.0,3672399351.0
1925.0,3712867713.0
