Year,NO
1990.0,2368969970.703125
1991.0,2356090087.890625
1992.0,2348919921.875
1993.0,2332620117.1875
1994.0,2424100097.65625
1995.0,2479909912.109375
1996.0,2493520019.53125
1997.0,2480570068.359375
1998.0,2510939941.40625
1999.0,2498219970.703125
2000.0,2490419921.875
2001.0,2512179931.640625
2002.0,2570020019.53125
2003.0,2604750000.0
2004.0,2687850097.65625
2005.0,2701330078.125
2006.0,2733120117.1875
2007.0,2802949951.171875
2008.0,2775360107.421875
2009.0,2769550048.828125
2010.0,2845370117.1875
2011.0,2914600097.65625
2012.0,2937790039.0625
2013.0,2918250000.0
2014.0,2963010009.765625
2015.0,2995510009.765625
2016.0,3027260009.765625
2017.0,3087399902.34375
2018.0,3072530029.296875
2019.0,3096790039.0625
2020.0,3124814513.1779785
2021.0,3152652222.3405075
