,year,extent,img_url
0,1979,7.05,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcWtLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--848d760560e3f346b803162101f2adfaab31550c/seaice_1979_720x360.jpg?disposition=attachment
1,1980,7.67,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcW9LIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3e5cd0027702cc962076d1864a2e1a24de40d6d6/seaice_1980_720x360.jpg?disposition=attachment
2,1981,7.14,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcXNLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--57876766f8f0e4e3b366f2b203dd6f4607938ee7/seaice_1981_720x360.jpg?disposition=attachment
3,1982,7.3,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcXdLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0b0aeff12efebb6ec6cbaaaea847a1fc1ed3cc44/seaice_1982_720x360.jpg?disposition=attachment
4,1983,7.39,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcTBLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ccb2802709d9c726688c3ca6fcc8981c9efca2c5/seaice_1983_720x360.jpg?disposition=attachment
5,1984,6.81,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcTRLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ba69ca2e7a1c7ac7b8c2302b00ed431693ad96a3/seaice_1984_720x360.jpg?disposition=attachment
6,1985,6.7,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcThLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bada7027fec251e17c9fe0570586be9313d012fa/seaice_1985_720x360.jpg?disposition=attachment
7,1986,7.41,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBckFLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f4d45a3df324a8a647a88b3139b212b8d5822726/seaice_1986_720x360.jpg?disposition=attachment
8,1987,7.28,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBckVLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b449f0005b162c4fd2f8302d8fa10014a758323c/seaice_1987_720x360.jpg?disposition=attachment
9,1988,7.37,https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcklLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1280be0cb57c0a8dde60f1d14f5dfbf059792355/seaice_1988_720x360.jpg?disposition=attachment
