year, month, imgURL
2002, 9, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd2xmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--52bab461d100ef4796a28b29428e6af8f373c2cc/co2_2002_9_0001_720x360.jpg?disposition=attachment
2002, 10, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3BmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b76725924e6915aafbf2d35960c0e1647c801d72/co2_2002_10_0002_720x360.jpg?disposition=attachment
2002, 11, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3RmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--60bc678b65a7c76269486fe2144ed8f8cb4be52d/co2_2002_11_0003_720x360.jpg?disposition=attachment
2002, 12, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3hmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3ea7372e3b7d1b0b6b09b190f9526ed3bb00542e/co2_2002_12_0004_720x360.jpg?disposition=attachment
2003, 1, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdzFmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--694852aa0e22c30297ee9a7929b0c04ec355c085/co2_2003_1_0005_720x360.jpg?disposition=attachment
2003, 2, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdzVmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--11803ad00d18fb73e33286130dae2a47a49e424f/co2_2003_2_0006_720x360.jpg?disposition=attachment
2003, 3, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdzlmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6bb2c091242766e99fad4d05dd72155b846df404/co2_2003_3_0007_720x360.jpg?disposition=attachment
2003, 4, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeEJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6dcb4ded525c930d8dfbfe1ef2171fb92e1e0b11/co2_2003_4_0008_720x360.jpg?disposition=attachment
2003, 5, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeEZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--62f0f69ff0273d5577845e0aaec61913bdcd22e7/co2_2003_5_0009_720x360.jpg?disposition=attachment
2003, 6, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeEpmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c36f8c5c558fcc0b0c8e8b32fc897d1ae73d9c9f/co2_2003_6_0010_720x360.jpg?disposition=attachment
2003, 7, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeE5mQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--56b2a713a7ebeddca2b67b722620cf7638b7c063/co2_2003_7_0011_720x360.jpg?disposition=attachment
2003, 8, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeFJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f0fadb038d786d053f7ce25117da1e6b41d93cb3/co2_2003_8_0012_720x360.jpg?disposition=attachment
2003, 9, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeFZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--22bf9d04246b2438d3f0377d4d72f6ec95d9b75e/co2_2003_9_0013_720x360.jpg?disposition=attachment
2003, 10, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeFpmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8092cef9f408fe66868ac17806ac1475abc248e7/co2_2003_10_0014_720x360.jpg?disposition=attachment
2003, 11, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--dbf70b3765d326eb81da0ff71b2f8510070d99cc/co2_2003_11_0015_720x360.jpg?disposition=attachment
2003, 12, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7c2edbcb0229a0bcb0133d4b927ac24b0a61a0dd/co2_2003_12_0016_720x360.jpg?disposition=attachment
2004, 1, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGxmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c79790baf9c31ac5253dd7419c9164811c785a00/co2_2004_1_0017_720x360.jpg?disposition=attachment
2004, 2, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHBmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c25e99e202993457417e88e128fb19fa4bbb9545/co2_2004_2_0018_720x360.jpg?disposition=attachment
2004, 3, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHRmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c249a5c2b6cfc3e1c3f605e92a790ac44d6824f7/co2_2004_3_0019_720x360.jpg?disposition=attachment
2004, 4, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHhmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ab01245f1118c11393f1e900ad48845ca84fd854/co2_2004_4_0020_720x360.jpg?disposition=attachment
2004, 5, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeDFmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bb6fcc54a4f665abc39b247fb050123e961f7d56/co2_2004_5_0021_720x360.jpg?disposition=attachment
2004, 6, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeDVmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d9529070412982dd1243700d61505d1b7516ac7d/co2_2004_6_0022_720x360.jpg?disposition=attachment
2004, 7, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeDlmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4e2a29f0b764c4409f9e744463e292aae9b97213/co2_2004_7_0023_720x360.jpg?disposition=attachment
2004, 8, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeUJmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ff52cea6a18219813ff4e4908ca0ed21e749dfc4/co2_2004_8_0024_720x360.jpg?disposition=attachment
2004, 9, https://climate.nasa.gov/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeUZmQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d7525986f79b7f56a8b64f977901cd26ab167195/co2_2004_9_0025_720x360.jpg?disposition=attachment
